query,relevant_doc
What studies investigated Insulin Resistance?,Insulin Resistance
Which trial evaluated Triflusal (DCI)?,Triflusal (DCI)
Which trial evaluated Cagrilintide?,Cagrilintide
Which trial evaluated COMBINATION_PRODUCT: Co-transplantation of PTG with pancreatic islets?,COMBINATION_PRODUCT: Co-transplantation of PTG with pancreatic islets
Which trial evaluated Telemedicine Arm?,Telemedicine Arm
Which trial evaluated Vildagliptin?,Vildagliptin
What studies investigated Chronic Wound|Diabetes|Spinal Cord Injury|Ischemic Wound?,Chronic Wound|Diabetes|Spinal Cord Injury|Ischemic Wound
Which trial evaluated exciflex?,exciflex
Which trial evaluated Exercise?,Exercise
Which trial evaluated Peer Coaching - Peer Participants A?,Peer Coaching - Peer Participants A
Which trial evaluated Fit 24?,Fit 24
What studies investigated Gestational Diabetes Mellitus (GDM)?,Gestational Diabetes Mellitus (GDM)
Which trial evaluated Education Program Using Gamification on GDM?,Education Program Using Gamification on GDM
What studies investigated Rotator Cuff Tear|Rotator Cuff Injury|Rotator Cuff Tendinitis|Diabetes Mellitus?,Rotator Cuff Tear|Rotator Cuff Injury|Rotator Cuff Tendinitis|Diabetes Mellitus
Which trial evaluated Ketorolac?,Ketorolac
Which trial evaluated DIETARY_SUPPLEMENT: cholecalciferol?,DIETARY_SUPPLEMENT: cholecalciferol
Which trial evaluated Insulin Degludec/Insulin Aspart?,Insulin Degludec/Insulin Aspart
"What studies investigated Kidney Transplant; Complications|Kidney Diseases|Transplant;Failure,Kidney|Diabetes|Hypertension|Obesity|Diet, Healthy|Lifestyle, Healthy?","Kidney Transplant; Complications|Kidney Diseases|Transplant;Failure,Kidney|Diabetes|Hypertension|Obesity|Diet, Healthy|Lifestyle, Healthy"
Which trial evaluated Dietary Education Curriculum?,Dietary Education Curriculum
What studies investigated Dyspepsia|Diabetes Mellitus With Gastrointestinal Symptoms?,Dyspepsia|Diabetes Mellitus With Gastrointestinal Symptoms
Which trial evaluated Exendin 9-39?,Exendin 9-39
Which trial evaluated evogliptin?,evogliptin
Which trial evaluated Intervention?,Intervention
What studies investigated Asthma?,Asthma
Which trial evaluated New use of semaglutide injection?,New use of semaglutide injection
What studies investigated Advanced Solid Tumor?,Advanced Solid Tumor
Which trial evaluated BIOLOGICAL: CTLA-4/PD-1 antibodies expressing mesoCAR-T?,BIOLOGICAL: CTLA-4/PD-1 antibodies expressing mesoCAR-T
What studies investigated Dietary Exposure?,Dietary Exposure
Which trial evaluated DIETARY_SUPPLEMENT: Low energy meal replacement plan (12 weeks)?,DIETARY_SUPPLEMENT: Low energy meal replacement plan (12 weeks)
What studies investigated Type 2 Diabetes|Chronic Kidney Disease?,Type 2 Diabetes|Chronic Kidney Disease
Which trial evaluated modalities of metformin prescription?,modalities of metformin prescription
What studies investigated Carbohydrate Ingestion?,Carbohydrate Ingestion
Which trial evaluated Carbohydrates restriction?,Carbohydrates restriction
What studies investigated Type1 Diabetes Mellitus?,Type1 Diabetes Mellitus
Which trial evaluated DreaMed Advisor Pro?,DreaMed Advisor Pro
Which trial evaluated Human Insulin Inhalation Powder?,Human Insulin Inhalation Powder
What studies investigated Diabetes in Pregnancy|Gestational Diabetes?,Diabetes in Pregnancy|Gestational Diabetes
Which trial evaluated Insulin glargine alone?,Insulin glargine alone
"What studies investigated Coronary Arteriosclerosis|Diabetes Mellitus, Type 2|Cerebrovascular Accident|Dyslipidemia|Peripheral Vascular Disease?","Coronary Arteriosclerosis|Diabetes Mellitus, Type 2|Cerebrovascular Accident|Dyslipidemia|Peripheral Vascular Disease"
Which trial evaluated Atorvastatin (Lipitor)?,Atorvastatin (Lipitor)
Which trial evaluated Traditional Chinese medicine regimen-based lifestyle mobile health APP?,Traditional Chinese medicine regimen-based lifestyle mobile health APP
What studies investigated Cystic Fibrosis-related Diabetes?,Cystic Fibrosis-related Diabetes
Which trial evaluated Insulin?,Insulin
What studies investigated Type 1 Diabetes|Type2 Diabetes|Hyperglycemia|Hypoglycemia|Hypoglycemia Unawareness?,Type 1 Diabetes|Type2 Diabetes|Hyperglycemia|Hypoglycemia|Hypoglycemia Unawareness
Which trial evaluated CGM4Home?,CGM4Home
Which trial evaluated RADIATION: 68Ga-exendin PET/CT?,RADIATION: 68Ga-exendin PET/CT
What studies investigated Popliteal Stenosis|Popliteal Artery Occlusion|Diabetes?,Popliteal Stenosis|Popliteal Artery Occlusion|Diabetes
"Which trial evaluated DCB angioplasty (Orchid, Acotec Scientific Co. Ltd.)?","DCB angioplasty (Orchid, Acotec Scientific Co. Ltd.)"
Which trial evaluated Intensive lifestyle intervention (ILI)?,Intensive lifestyle intervention (ILI)
What studies investigated Peri-Implantitis?,Peri-Implantitis
Which trial evaluated BIOLOGICAL: ICG-PDT?,BIOLOGICAL: ICG-PDT
What studies investigated Diabetic Foot Ulcer (DFU)|Venous Leg Ulcer (VLU)|Pressure Ulcer (PU)?,Diabetic Foot Ulcer (DFU)|Venous Leg Ulcer (VLU)|Pressure Ulcer (PU)
"Which trial evaluated BIOLOGICAL: dHPT, AIC?","BIOLOGICAL: dHPT, AIC"
Which trial evaluated semaglutide?,semaglutide
What studies investigated Central Diabetes Insipidus (cDI)?,Central Diabetes Insipidus (cDI)
Which trial evaluated Intranasal OXT?,Intranasal OXT
What studies investigated Diabetes Mellitus|Latent Tuberculosis Infection|Continuous Glucose Monitoring|Quality of Life?,Diabetes Mellitus|Latent Tuberculosis Infection|Continuous Glucose Monitoring|Quality of Life
Which trial evaluated enhanced interactive education?,enhanced interactive education
Which trial evaluated Connected insulin pen and smartphone app?,Connected insulin pen and smartphone app
Which trial evaluated Trelagliptin?,Trelagliptin
What studies investigated Type 2 Diabetes|Obesity?,Type 2 Diabetes|Obesity
Which trial evaluated Traditional MNT?,Traditional MNT
What studies investigated Influenza Vaccine|Immune Response|Elderly|Vitamin D Deficiency|Metabolic Disease|Diabetes Mellitus?,Influenza Vaccine|Immune Response|Elderly|Vitamin D Deficiency|Metabolic Disease|Diabetes Mellitus
Which trial evaluated BIOLOGICAL: Influenza Vaccine?,BIOLOGICAL: Influenza Vaccine
What studies investigated Diabetes|PreDiabetes?,Diabetes|PreDiabetes
"Which trial evaluated Biological analysis, Physical examination and Questionnaires?","Biological analysis, Physical examination and Questionnaires"
Which trial evaluated Stem cell therapy- SPD artery?,Stem cell therapy- SPD artery
Which trial evaluated DIAGNOSTIC_TEST: The hyperinsulinaemic hypoglycaemic clamp?,DIAGNOSTIC_TEST: The hyperinsulinaemic hypoglycaemic clamp
What studies investigated Type 2 Diabetes|Insulin Resistance?,Type 2 Diabetes|Insulin Resistance
Which trial evaluated DIETARY_SUPPLEMENT: Fish Oil Supplementation?,DIETARY_SUPPLEMENT: Fish Oil Supplementation
What studies investigated Type 2 Diabetes Mellitus (T2DM)?,Type 2 Diabetes Mellitus (T2DM)
Which trial evaluated DIETARY_SUPPLEMENT: Sucralose?,DIETARY_SUPPLEMENT: Sucralose
Which trial evaluated Whey protein?,Whey protein
What studies investigated Type 2 Diabetes Mellitus|Bariatric Surgery|Biliopancreatic Diversion|Gastric Bypass?,Type 2 Diabetes Mellitus|Bariatric Surgery|Biliopancreatic Diversion|Gastric Bypass
"Which trial evaluated PROCEDURE: biliopancreatic diversion, gastric bypass?","PROCEDURE: biliopancreatic diversion, gastric bypass"
What studies investigated Coronary Artery Disease?,Coronary Artery Disease
Which trial evaluated Tirofiban?,Tirofiban
What studies investigated Diabetic Peripheral Neuropathy?,Diabetic Peripheral Neuropathy
Which trial evaluated Clinical Evaluation?,Clinical Evaluation
What studies investigated Gestational Diabetes Mellitus?,Gestational Diabetes Mellitus
What studies investigated Impotence?,Impotence
Which trial evaluated tadalafil?,tadalafil
"What studies investigated Heart Failure|Chronic Kidney Diseases|Diabetes Mellitus, Type 2?","Heart Failure|Chronic Kidney Diseases|Diabetes Mellitus, Type 2"
Which trial evaluated Medically tailored meals?,Medically tailored meals
What studies investigated Type 2 Diabetes|Type 1 Diabetes?,Type 2 Diabetes|Type 1 Diabetes
Which trial evaluated DIETARY_SUPPLEMENT: Dark chocolate?,DIETARY_SUPPLEMENT: Dark chocolate
"What studies investigated Diabetes Mellitus, Non-Insulin-Dependent?","Diabetes Mellitus, Non-Insulin-Dependent"
Which trial evaluated BIOLOGICAL: MNCs?,BIOLOGICAL: MNCs
What studies investigated Diabetic Foot Ulcers?,Diabetic Foot Ulcers
Which trial evaluated KLOX BioPhotonic System?,KLOX BioPhotonic System
What studies investigated Chronic Kidney Disease?,Chronic Kidney Disease
Which trial evaluated AZD5718?,AZD5718
What studies investigated Pregnancy|Neonatal Mortality|Tuberculosis|Hepatitis B|Hypertension|Diabetes Mellitus?,Pregnancy|Neonatal Mortality|Tuberculosis|Hepatitis B|Hypertension|Diabetes Mellitus
Which trial evaluated Prescription for Action (SPHERES Model)?,Prescription for Action (SPHERES Model)
What studies investigated Diabetic Foot Ulcer|Offloading?,Diabetic Foot Ulcer|Offloading
Which trial evaluated Minimal Offloading dressing?,Minimal Offloading dressing
What studies investigated Peripheral Arterial Disease|Diabetic Foot|Diabetes Mellitus?,Peripheral Arterial Disease|Diabetic Foot|Diabetes Mellitus
Which trial evaluated ABI/WIFI scoring?,ABI/WIFI scoring
What studies investigated Type 2 Diabetes|Type 2 Diabetes Mellitus (T2DM)|Type 2 Diabetes (T2D)?,Type 2 Diabetes|Type 2 Diabetes Mellitus (T2DM)|Type 2 Diabetes (T2D)
Which trial evaluated Augmented Initial Type 2 Diabetes Care?,Augmented Initial Type 2 Diabetes Care
What studies investigated Gestational Diabetes|Gestational Diabetes Mellitus in Pregnancy?,Gestational Diabetes|Gestational Diabetes Mellitus in Pregnancy
Which trial evaluated Flash Glucose Monitoring?,Flash Glucose Monitoring
"What studies investigated Diabetes Mellitus, Type 2|Obesity?","Diabetes Mellitus, Type 2|Obesity"
Which trial evaluated NNC0519-0130?,NNC0519-0130
Which trial evaluated Reference drug?,Reference drug
Which trial evaluated LY3325656?,LY3325656
Which trial evaluated Insulin Lispro?,Insulin Lispro
Which trial evaluated Berovenal®?,Berovenal®
Which trial evaluated GLITTER comprehensive management?,GLITTER comprehensive management
"What studies investigated Diabetes Mellitus, Type 2|Protein Supplementation|Body Composition|Inflammation Biomarkers|Resistance Training?","Diabetes Mellitus, Type 2|Protein Supplementation|Body Composition|Inflammation Biomarkers|Resistance Training"
Which trial evaluated DIETARY_SUPPLEMENT: Whey protein?,DIETARY_SUPPLEMENT: Whey protein
Which trial evaluated Modified paleolithic diet and exercise under observation?,Modified paleolithic diet and exercise under observation
What studies investigated Acceptance and Commitment Therapy|Type 2 Diabetes|Diabetes Distress?,Acceptance and Commitment Therapy|Type 2 Diabetes|Diabetes Distress
Which trial evaluated ACT-DE?,ACT-DE
Which trial evaluated insulin degludec?,insulin degludec
What studies investigated Diabetes Mellitus|Obesity?,Diabetes Mellitus|Obesity
Which trial evaluated PROCEDURE: Gastric bypass?,PROCEDURE: Gastric bypass
Which trial evaluated vildagliptin 50 mg bid plus metformin 1500mg (Galvus+Diabex)?,vildagliptin 50 mg bid plus metformin 1500mg (Galvus+Diabex)
What studies investigated Open Cracked Heel in Diabetic Patients With Polyneuropathy?,Open Cracked Heel in Diabetic Patients With Polyneuropathy
Which trial evaluated Tested product : V0111 cream?,Tested product : V0111 cream
What studies investigated Cardiovascular Diseases|Heart Diseases|Coronary Disease|Cerebrovascular Disorders|Diabetes Mellitus|Hypertension|Cerebrovascular Accident?,Cardiovascular Diseases|Heart Diseases|Coronary Disease|Cerebrovascular Disorders|Diabetes Mellitus|Hypertension|Cerebrovascular Accident
What studies investigated Coronavirus Infections|Diabetes Mellitus|Prevalence|Risk Factors|Patient Outcome Assessment|Severe Acute Respiratory Syndrome?,Coronavirus Infections|Diabetes Mellitus|Prevalence|Risk Factors|Patient Outcome Assessment|Severe Acute Respiratory Syndrome
Which trial evaluated MANAGEMENT OF COVID-19?,MANAGEMENT OF COVID-19
What studies investigated Diabetes Mellitus|High Blood Pressure|Cardiovascular Diseases|Cognitive Impairment?,Diabetes Mellitus|High Blood Pressure|Cardiovascular Diseases|Cognitive Impairment
Which trial evaluated Intensive Control of Systolic Blood Pressure (SBP)?,Intensive Control of Systolic Blood Pressure (SBP)
Which trial evaluated SGLT2 inhibitor?,SGLT2 inhibitor
Which trial evaluated Saxagliptin/metformin fixed-dose combination (FDC)?,Saxagliptin/metformin fixed-dose combination (FDC)
What studies investigated Type 2 Diabetes|Heart Failure?,Type 2 Diabetes|Heart Failure
Which trial evaluated all antidiabetic drugs will be appliable?,all antidiabetic drugs will be appliable
What studies investigated Diabetes Mellitus|Diabetic Retinopathy|Cognitive Impairment|Neurovascular Coupling?,Diabetes Mellitus|Diabetic Retinopathy|Cognitive Impairment|Neurovascular Coupling
Which trial evaluated hypoglycemic treatment?,hypoglycemic treatment
Which trial evaluated acipimox?,acipimox
Which trial evaluated Sitagliptin?,Sitagliptin
Which trial evaluated DPP-4 inhibitor?,DPP-4 inhibitor
Which trial evaluated portable artificial pancreas system with CTR algorithms?,portable artificial pancreas system with CTR algorithms
Which trial evaluated DIETARY_SUPPLEMENT: Blood Sugar Take Care?,DIETARY_SUPPLEMENT: Blood Sugar Take Care
"What studies investigated Diabetes Mellitus, Type 1|Contraception?","Diabetes Mellitus, Type 1|Contraception"
What studies investigated Type 2 Diabetes|Cardiovascular Diseases?,Type 2 Diabetes|Cardiovascular Diseases
Which trial evaluated Pistachio?,Pistachio
What studies investigated Cardiovascular Disease|Peripheral Artery Disease|Ischemic Stroke|Diabetes?,Cardiovascular Disease|Peripheral Artery Disease|Ischemic Stroke|Diabetes
Which trial evaluated Web-Based Intervention?,Web-Based Intervention
"What studies investigated Diabetes Mellitus, Type 2|Pediatric Obesity|Bariatric Surgery Candidate?","Diabetes Mellitus, Type 2|Pediatric Obesity|Bariatric Surgery Candidate"
Which trial evaluated PROCEDURE: Advanced Medical Therapy and Bariatric Surgery?,PROCEDURE: Advanced Medical Therapy and Bariatric Surgery
Which trial evaluated Combined prandial insulin therapy (CPIT)?,Combined prandial insulin therapy (CPIT)
Which trial evaluated SW as medical devices(comperator) to evaluate the retinal image of the patient's eye (to identify if the patient has DR or if the patient is healthy) .?,SW as medical devices(comperator) to evaluate the retinal image of the patient's eye (to identify if the patient has DR or if the patient is healthy) .
"What studies investigated Age|Cicatrix, Hypertrophic|Fibrosis|Diabetes Mellitus?","Age|Cicatrix, Hypertrophic|Fibrosis|Diabetes Mellitus"
Which trial evaluated Skin sample?,Skin sample
"What studies investigated Obesity, Childhood|Type 2 Diabetes Mellitus in Obese?","Obesity, Childhood|Type 2 Diabetes Mellitus in Obese"
Which trial evaluated Measurement of biomarker?,Measurement of biomarker
Which trial evaluated Basal-bolus detemir-aspart insulin regimen?,Basal-bolus detemir-aspart insulin regimen
What studies investigated Cardiovascular Diseases|Coronary Heart Disease?,Cardiovascular Diseases|Coronary Heart Disease
Which trial evaluated There is no intervention?,There is no intervention
Which trial evaluated GZR18?,GZR18
What studies investigated Diabetes Mellitus Type I|Hypoglycemia?,Diabetes Mellitus Type I|Hypoglycemia
Which trial evaluated Insulin (Insuman Rapid)?,Insulin (Insuman Rapid)
What studies investigated Lifestyle Risk Reduction|Type2 Diabetes?,Lifestyle Risk Reduction|Type2 Diabetes
Which trial evaluated Lifestyle intervention?,Lifestyle intervention
What studies investigated Covid19|type1diabetes?,Covid19|type1diabetes
What studies investigated Diabetic Cardiomyopathies|Heart Failure?,Diabetic Cardiomyopathies|Heart Failure
Which trial evaluated DIETARY_SUPPLEMENT: Probiotic?,DIETARY_SUPPLEMENT: Probiotic
Which trial evaluated BIOLOGICAL: LY900014?,BIOLOGICAL: LY900014
Which trial evaluated glucose clamp?,glucose clamp
Which trial evaluated Evidence-Based Program?,Evidence-Based Program
Which trial evaluated Livongo Health System?,Livongo Health System
Which trial evaluated Determinants of T1D glycaemic control?,Determinants of T1D glycaemic control
What studies investigated Diabete Mellitus?,Diabete Mellitus
Which trial evaluated DA-2811?,DA-2811
What studies investigated Diabetes Mellitus|Type 2 DM?,Diabetes Mellitus|Type 2 DM
Which trial evaluated COMBINATION_PRODUCT: Empagliflozin+Linagliptin+Metformin?,COMBINATION_PRODUCT: Empagliflozin+Linagliptin+Metformin
Which trial evaluated Gemigliptin + Metformin / Sitagliptin + Metformin / Glimepiride + Metformin?,Gemigliptin + Metformin / Sitagliptin + Metformin / Glimepiride + Metformin
Which trial evaluated Supervised exercise?,Supervised exercise
Which trial evaluated insulin glargine?,insulin glargine
What studies investigated Diabetes Mellitus|Renal Insufficiency|Safety Issues?,Diabetes Mellitus|Renal Insufficiency|Safety Issues
Which trial evaluated Empagliflozin?,Empagliflozin
What studies investigated Prediabetes|Coronary Artery Disease|Insulin Resistance|Glucose Intolerance?,Prediabetes|Coronary Artery Disease|Insulin Resistance|Glucose Intolerance
Which trial evaluated placebo tablet?,placebo tablet
What studies investigated Diabetes Mellitus Type 2 in Obese?,Diabetes Mellitus Type 2 in Obese
Which trial evaluated PROCEDURE: Roux-en-Y gastric bypass?,PROCEDURE: Roux-en-Y gastric bypass
What studies investigated Type 1 Diabetes|Organ Transplantation|Immunosuppression?,Type 1 Diabetes|Organ Transplantation|Immunosuppression
Which trial evaluated PROCEDURE: islet transplantation?,PROCEDURE: islet transplantation
Which trial evaluated care coordination?,care coordination
Which trial evaluated Rosuvastatin?,Rosuvastatin
Which trial evaluated Intensive Lifestyle Intervention?,Intensive Lifestyle Intervention
What studies investigated Wound Healing?,Wound Healing
Which trial evaluated GSK1278863?,GSK1278863
Which trial evaluated Outpatient Control-to-Range?,Outpatient Control-to-Range
Which trial evaluated isoniazide?,isoniazide
Which trial evaluated Enavogliflozin?,Enavogliflozin
What studies investigated Diabetic Foot Ulcer|Coronary Artery Disease|Parenchymatous; Pneumonia|Kidney Stone|Inner Ear Disease|Brain Stroke|Joint Diseases|Diabetes|Adrenal Incidentaloma|Hyperaldosteronism|Macroadenoma|Interstitial Lung Disease|Intracranial Arteriovenous Malformations?,Diabetic Foot Ulcer|Coronary Artery Disease|Parenchymatous; Pneumonia|Kidney Stone|Inner Ear Disease|Brain Stroke|Joint Diseases|Diabetes|Adrenal Incidentaloma|Hyperaldosteronism|Macroadenoma|Interstitial Lung Disease|Intracranial Arteriovenous Malformations
Which trial evaluated Spectral Photon Counting Computed Tomography (SPCCT)?,Spectral Photon Counting Computed Tomography (SPCCT)
What studies investigated Prediabetic State|Obesity|Metabolic Syndrome X?,Prediabetic State|Obesity|Metabolic Syndrome X
What studies investigated Type 1 Diabetes (T1D)|Glucose Control?,Type 1 Diabetes (T1D)|Glucose Control
Which trial evaluated Control visit interval?,Control visit interval
What studies investigated Diabete Type 2|Obese?,Diabete Type 2|Obese
Which trial evaluated Starch 1?,Starch 1
What studies investigated Coronary Artery Disease|Angina Pectoris|Type 2 Diabetes Mellitus|Percutaneous Coronary Intervention?,Coronary Artery Disease|Angina Pectoris|Type 2 Diabetes Mellitus|Percutaneous Coronary Intervention
Which trial evaluated pioglitazone?,pioglitazone
"What studies investigated Hypertension, Resistant to Conventional Therapy|Diabetes Mellitus?","Hypertension, Resistant to Conventional Therapy|Diabetes Mellitus"
Which trial evaluated Low dose spironolactone?,Low dose spironolactone
"What studies investigated Diabetes Mellitus|Foot Ulcer, Diabetic|Primary Prevention?","Diabetes Mellitus|Foot Ulcer, Diabetic|Primary Prevention"
Which trial evaluated 3D printed insoles for normal footware?,3D printed insoles for normal footware
Which trial evaluated 5-mm 32-gauge Insulin needles in the first three days of Intervention?,5-mm 32-gauge Insulin needles in the first three days of Intervention
Which trial evaluated SGLT-2i?,SGLT-2i
What studies investigated Diabetes Mellitus Type 2 With Hypoglycemia?,Diabetes Mellitus Type 2 With Hypoglycemia
Which trial evaluated SUGAR Handshake?,SUGAR Handshake
Which trial evaluated Lixisenatide (AVE0010)?,Lixisenatide (AVE0010)
Which trial evaluated Caloric restriction?,Caloric restriction
What studies investigated Quality of Life|Type 2 Diabetes|Metformin+Sitagliptin?,Quality of Life|Type 2 Diabetes|Metformin+Sitagliptin
Which trial evaluated Metformin / Sitagliptin Oral Tablet?,Metformin / Sitagliptin Oral Tablet
What studies investigated Myocardial Infarction?,Myocardial Infarction
Which trial evaluated Clopidogrel?,Clopidogrel
What studies investigated Diabetes|Obesity|Metabolic Syndrome|Cardiovascular Disease?,Diabetes|Obesity|Metabolic Syndrome|Cardiovascular Disease
Which trial evaluated Carbohydrate + Protein?,Carbohydrate + Protein
What studies investigated Diabete Mellitus|VATS|TIVA?,Diabete Mellitus|VATS|TIVA
Which trial evaluated Propofol + fentanyl + Atracurium?,Propofol + fentanyl + Atracurium
"What studies investigated Diabetes|Diabetes Mellitus, Type 1|Lipohypertrophy?","Diabetes|Diabetes Mellitus, Type 1|Lipohypertrophy"
Which trial evaluated Medtronic Extended Infusion Set?,Medtronic Extended Infusion Set
What studies investigated Diabetic Kidney Disease (DKD)?,Diabetic Kidney Disease (DKD)
Which trial evaluated BIOLOGICAL: CSL346?,BIOLOGICAL: CSL346
What studies investigated Serious Games|Psychological Flow|Diabetes Mellitus?,Serious Games|Psychological Flow|Diabetes Mellitus
Which trial evaluated Medical serious game intervention (educational)?,Medical serious game intervention (educational)
"What studies investigated Diabetes Mellitus, Type 2|Insomnia?","Diabetes Mellitus, Type 2|Insomnia"
Which trial evaluated Circadin?,Circadin
What studies investigated Diabetes Mellitus|Diabetic Retinopathy (DR)?,Diabetes Mellitus|Diabetic Retinopathy (DR)
Which trial evaluated Education/information of risk?,Education/information of risk
"What studies investigated FDC|Diabetes Mellitus, Type 2?","FDC|Diabetes Mellitus, Type 2"
Which trial evaluated DWC202213?,DWC202213
What studies investigated Type I Diabetes|Pediatrics|Food Insecurity?,Type I Diabetes|Pediatrics|Food Insecurity
Which trial evaluated Community Servings?,Community Servings
What studies investigated Sepsis|Acute Kidney Injury|Diabetic Ketoacidosis?,Sepsis|Acute Kidney Injury|Diabetic Ketoacidosis
Which trial evaluated DIETARY_SUPPLEMENT: Hydrogen-rich water?,DIETARY_SUPPLEMENT: Hydrogen-rich water
What studies investigated Metabolic Associated Fatty Liver Disease|Type 2 Diabetes (T2DM)?,Metabolic Associated Fatty Liver Disease|Type 2 Diabetes (T2DM)
Which trial evaluated Glugagon?,Glugagon
Which trial evaluated Dietary treatment?,Dietary treatment
Which trial evaluated Paradigm 722 sensor augmented pump?,Paradigm 722 sensor augmented pump
Which trial evaluated Actos?,Actos
What studies investigated Non-Alcoholic Fatty Liver Disease|Cardiovascular Diseases|Type2 Diabetes|Metabolic Syndrome|Overweight and Obesity?,Non-Alcoholic Fatty Liver Disease|Cardiovascular Diseases|Type2 Diabetes|Metabolic Syndrome|Overweight and Obesity
Which trial evaluated DIAGNOSTIC_TEST: FibroScan?,DIAGNOSTIC_TEST: FibroScan
Which trial evaluated Apidra?,Apidra
Which trial evaluated DIETARY_SUPPLEMENT: Fermented milk product?,DIETARY_SUPPLEMENT: Fermented milk product
What studies investigated Anxiety|Life Style|Gestational Diabetes|Pregnancy Related?,Anxiety|Life Style|Gestational Diabetes|Pregnancy Related
Which trial evaluated Laughter yoga?,Laughter yoga
Which trial evaluated Linagliptin?,Linagliptin
"What studies investigated Diabetes Mellitus|Diabetes, Gestational?","Diabetes Mellitus|Diabetes, Gestational"
Which trial evaluated Lifestyle and Risk Assessment class?,Lifestyle and Risk Assessment class
What studies investigated Diabetes Mellitus Type 1|Adolescents|Psychiatric Disorders?,Diabetes Mellitus Type 1|Adolescents|Psychiatric Disorders
Which trial evaluated The Strengths and Difficulties Questionnaire (SDQ) Parent Version Parent : It consists of 25 questionnaires used to screen for behavioral problems in children aged 4-17 years.?,The Strengths and Difficulties Questionnaire (SDQ) Parent Version Parent : It consists of 25 questionnaires used to screen for behavioral problems in children aged 4-17 years.
What studies investigated Overweight and Obesity|Prediabetes|Hypertension|Dyslipidemias?,Overweight and Obesity|Prediabetes|Hypertension|Dyslipidemias
Which trial evaluated Orange juice enriched with vitamin D3 and encapsulated probiotics?,Orange juice enriched with vitamin D3 and encapsulated probiotics
Which trial evaluated chart review?,chart review
What studies investigated Healthy?,Healthy
Which trial evaluated GLA5PR GLARS-NF3 tablet 150mg?,GLA5PR GLARS-NF3 tablet 150mg
Which trial evaluated Insulin Degludec and Insulin Aspart Injection?,Insulin Degludec and Insulin Aspart Injection
What studies investigated Observation of Neuromuscular Block?,Observation of Neuromuscular Block
Which trial evaluated LY2605541?,LY2605541
Which trial evaluated Maharishi Ayurveda Lifestyle Program?,Maharishi Ayurveda Lifestyle Program
Which trial evaluated LAF237 = vildagliptin?,LAF237 = vildagliptin
What studies investigated Obesity|Diabetes|Hyperlipidemia?,Obesity|Diabetes|Hyperlipidemia
Which trial evaluated DIETARY_SUPPLEMENT: Oleic acid (OA)?,DIETARY_SUPPLEMENT: Oleic acid (OA)
What studies investigated Diabetes Mellitus|Diabetic Peripheral Neuropathy|Cognitive Impairment|Quality of Life|Diabetic Peripheral Neuropathic Pain?,Diabetes Mellitus|Diabetic Peripheral Neuropathy|Cognitive Impairment|Quality of Life|Diabetic Peripheral Neuropathic Pain
Which trial evaluated Cambridge Neuropsychological Test Automated Battery (CANTAB)?,Cambridge Neuropsychological Test Automated Battery (CANTAB)
What studies investigated Foot Ulcer|Diabetes?,Foot Ulcer|Diabetes
Which trial evaluated Atorvastatin (10 mg or 80 mg)?,Atorvastatin (10 mg or 80 mg)
Which trial evaluated Blood glucose monitoring systems?,Blood glucose monitoring systems
Which trial evaluated BIOLOGICAL: albiglutide?,BIOLOGICAL: albiglutide
What studies investigated Hyponatremia?,Hyponatremia
Which trial evaluated YM087?,YM087
"What studies investigated Closed Loop|Diabetes Mellitus, Type 1|Young Children (6 to 12 Years Old )?","Closed Loop|Diabetes Mellitus, Type 1|Young Children (6 to 12 Years Old )"
Which trial evaluated Continuous Glucose Monitoring?,Continuous Glucose Monitoring
Which trial evaluated exenatide (Byetta)?,exenatide (Byetta)
Which trial evaluated PROCEDURE: immunosuppression and stem cell transplantation?,PROCEDURE: immunosuppression and stem cell transplantation
Which trial evaluated cast shoe?,cast shoe
Which trial evaluated Assigned a peer counselor?,Assigned a peer counselor
What studies investigated Diabetic Foot Ulcer|Deep Diabetic Foot Ulcer?,Diabetic Foot Ulcer|Deep Diabetic Foot Ulcer
Which trial evaluated COMBINATION_PRODUCT: Dermacell?,COMBINATION_PRODUCT: Dermacell
Which trial evaluated Xience Prime?,Xience Prime
What studies investigated Cardiovascular Kidney Metabolic Syndrome|Type 2 Diabetes?,Cardiovascular Kidney Metabolic Syndrome|Type 2 Diabetes
Which trial evaluated Exercise is Medicine (EIM)?,Exercise is Medicine (EIM)
Which trial evaluated Liraglutide?,Liraglutide
What studies investigated Obesity &Amp; Overweight?,Obesity &Amp; Overweight
Which trial evaluated IN-B00009?,IN-B00009
What studies investigated Diabetes|Obesity?,Diabetes|Obesity
Which trial evaluated PF-06882961?,PF-06882961
What studies investigated Type 2 Diabetes|Inflammation|Cardiovascular Disease?,Type 2 Diabetes|Inflammation|Cardiovascular Disease
Which trial evaluated DIETARY_SUPPLEMENT: Low-Intermediate-Glycemic Index diets?,DIETARY_SUPPLEMENT: Low-Intermediate-Glycemic Index diets
Which trial evaluated empagliflozin?,empagliflozin
Which trial evaluated Islet transplantation?,Islet transplantation
What studies investigated Diabetic Foot?,Diabetic Foot
Which trial evaluated Metformin GSK 850mg?,Metformin GSK 850mg
